code,name,parent,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NG020041,Tudun Wada,NG02001,40,3969,35.1,144684,143915,144070,144590,146940,148321,149678,151460,152326,154296,155339,156795,158621,160268,161701,162701,163075,163203,161780,160337
NG020042,Ungogo,NG02001,33,4596,35.3,120577,120927,120869,120833,122874,125200,127991,131453,134742,137800,140713,141820,142672,144340,146038,147736,148768,149112,149539,149577
NG020043,Warawa,NG02001,197,770,42.6,133541,133631,134201,135066,136446,138012,139743,141345,142424,143988,145098,145742,146278,147476,148277,149689,150140,150906,151422,151273
NG020044,Wudil,NG02001,179,972,41.6,150334,149445,148794,149008,149598,150548,152144,153191,154165,154650,154943,156658,158065,159414,161200,163087,164980,167979,171119,173945
NG021001,Bakori,NG02101,309,876,38.3,212707,215061,217597,219521,223462,227225,231033,235625,240178,245450,249895,252773,256376,260225,263181,266240,267521,268607,269457,270203
NG021002,Batagarawa,NG02101,83,3522,35.3,249949,249743,249846,249847,252863,255564,258161,262019,265584,269495,272952,275724,277991,280650,284073,287173,288155,290395,290885,291738
NG021003,Batsari,NG02101,40,5315,34.2,188043,188476,190283,193483,196318,195964,194907,196036,198983,202700,205433,206517,206670,208037,210538,213335,214718,215133,214905,214692
NG021004,Baure,NG02101,50,5070,32.3,219539,220459,221989,223589,226655,226698,227223,228447,230017,233085,235870,238519,239858,242106,246054,250377,252359,252796,252520,252872
NG021005,Bindawa,NG02101,380,375,51,132925,133908,134783,135891,137179,137727,138289,138675,138361,138364,138392,138826,138555,139332,139763,140264,140984,141538,141771,142296
NG021006,Charanchi,NG02101,2226,240,43.1,493678,493538,493931,495147,497218,499348,502960,505617,507311,510628,512994,514261,515923,517573,519347,521776,523662,526980,530094,533149
NG021007,Dan Musa,NG02101,1166,332,46.6,352104,353348,355529,357354,359807,362049,365003,367160,368023,369051,370736,372383,373006,374606,375722,377303,378846,380790,384152,386667
NG021008,Dandume,NG02101,920,374,44.6,322154,322657,324378,325496,327169,328358,329364,329353,329116,329553,329526,330224,331069,332272,333949,335724,337986,340502,343071,343823
NG021009,Danja,NG02101,3197,102,48.2,283254,284901,286913,288810,291523,294531,297633,300473,302069,304523,307108,308416,309085,310774,312227,314392,317459,320274,323136,325415
NG021010,Daura,NG02101,3545,162,47.9,499937,504644,508579,511810,515098,517984,521957,524973,526365,529794,533760,538249,541734,545961,550283,555057,561349,565968,569578,573299
NG021011,Dutsi,NG02101,16,136,48.8,2140,2170,2155,2210,2210,2264,2293,2333,2251,2228,2224,2279,2265,2292,2335,2331,2259,2242,2224,2226
NG021012,Dutsin-Ma,NG02101,3255,155,45.1,433508,438386,442633,445632,448670,453041,458840,464007,466711,470199,474319,476914,479911,484560,488487,492240,496043,498064,500024,504070
NG021013,Faskari,NG02101,476,367,40.7,148113,149589,150684,151308,151747,152346,153107,154164,154808,156535,157840,159369,161553,163999,166376,168814,169912,171623,173292,174687
NG021014,Funtua,NG02101,716,411,40.9,234006,236297,238547,240444,242062,244351,246803,249035,250329,252460,255644,259591,263793,267846,272421,276731,280030,283606,288648,294096
NG021015,Ingawa,NG02101,5020,65,48.8,307363,308499,309448,310140,310752,311375,312960,314057,314489,315463,316278,316489,316389,316832,316453,317444,319030,320274,322434,323820
NG021016,Jibia,NG02101,162,2449,42.8,346829,348717,348483,348506,351616,353901,359462,363158,366948,373760,379441,382788,385178,388358,390889,394009,395638,395784,395331,396989
NG021017,Kafur,NG02101,2491,152,51.4,346596,350487,353367,355305,357679,359806,363069,364085,363567,364317,365897,366966,368555,369485,371636,373288,375051,376484,378508,379791
NG021018,Kaita,NG02101,1565,350,42.3,479131,478768,480164,482126,485526,489348,493501,496371,498813,502820,506550,510983,515533,520900,527114,533056,535918,540059,543973,547060
NG021019,Kankara,NG02101,987,355,41.5,285093,287657,290977,293506,297012,301168,306155,309747,312196,314555,317959,321483,324009,327856,331763,336991,341841,345477,348228,350448
NG021020,Kankia,NG02101,1377,295,40.7,345893,349123,351689,353110,357438,362435,365907,368454,371268,373456,376008,378848,381646,385495,390404,395461,399368,402145,405050,406733
NG021021,Katsina,NG02101,41,3073,29.8,109941,109543,111317,112167,117217,116654,115454,116183,116746,120219,122725,122601,123024,123735,125105,124635,124919,125758,124798,125063
NG021022,Kurfi,NG02101,651,138,43.8,73411,74328,77447,75996,77224,78429,79923,81035,82357,83303,84245,85220,85942,87045,87783,88189,88858,89362,89840,90172
NG021023,Kusada,NG02101,546,187,45.1,83687,84676,86296,87983,88968,90647,92713,93653,94404,95135,95461,95975,96617,97591,98814,99636,100776,101491,101850,102080
NG021024,Mai'adua,NG02101,906,198,43.6,157189,158476,159626,162654,162822,163896,164764,166346,167052,168352,170039,171206,172147,173883,175334,176095,176979,177352,177963,178985
NG021025,Malumfashi,NG02101,902,178,43.3,130476,131893,134057,135645,137420,139264,141484,143591,145679,147890,149842,150906,151188,152932,154488,156020,156705,157519,159086,160904
NG021026,Mani,NG02101,1242,79,48.6,93544,93816,94559,94846,95035,95279,95880,96186,96377,96301,96444,96269,96269,96532,96756,97099,97213,97527,97761,97831
NG021027,Mashi,NG02101,78,857,45,71960,71340,70914,70845,70545,70267,70034,69844,69776,69429,69056,68471,67936,67769,67676,67532,67099,67137,67049,66726
NG021028,Matazu,NG02101,1038,105,45.3,100764,101721,102777,104412,105562,106707,107293,107178,106966,106985,107475,107925,107992,108059,108109,108388,108274,108387,108678,108524
NG021029,Musawa,NG02101,732,93,47.3,69251,69095,69273,69750,69899,70329,70677,70789,70662,70629,70627,70309,70052,69866,69688,69306,68689,68424,68183,68041
NG021030,Rimi,NG02101,2142,25,51.3,49879,50276,50878,51393,51698,51891,52211,52427,52595,52678,52502,52687,52657,52649,52576,52642,52779,52881,53253,53754
NG021031,Sabuwa,NG02101,1535,68,51.6,102397,102433,102928,103672,104301,104340,104684,104492,104410,104143,103713,103544,103593,103501,103776,103826,104321,104532,105088,104905
NG021032,Safana,NG02101,265,485,46.2,116560,117265,117898,118421,119152,120038,120436,121170,121532,122081,122521,122798,123592,124050,124188,124802,125898,126678,128147,128829
NG021033,Sandamu,NG02101,160,507,43.9,71887,72527,73343,73601,73844,74347,74822,75058,75224,75691,76029,76480,76774,77231,77917,78225,79098,79530,80562,81305
NG021034,Zango,NG02101,66,1589,44.7,98832,99256,99929,100545,101277,101674,102027,102609,103037,103417,103788,103788,104066,104331,104463,104527,104579,104628,104900,104930
NG032001,Barikin Ladi,NG03201,50,5000,38.4,210044,212336,213728,216267,221109,223632,226355,229567,233495,237451,240499,241978,243004,245149,246818,248697,248880,250149,251160,252338
NG032002,Bassa,NG03201,112,2320,39.2,224717,225054,225248,225769,226990,228198,229789,231793,234127,236234,237927,239742,242142,246030,249375,253371,256039,257810,259552,260651
NG032003,Bokkos,NG03201,116,2671,36.5,245616,247063,248054,248691,251430,254387,256981,261051,265665,269465,275499,281179,285996,291368,296056,299899,302343,304824,306870,309014
NG032004,Jos East,NG03201,56,4856,36.8,215976,216888,216498,219440,223776,228126,233454,237907,243366,249236,254927,258518,261275,264030,266412,268270,269100,270782,271523,271767
NG032005,Jos North,NG03201,15,16699,31.9,179387,180118,180899,180831,183477,185283,188636,192089,196704,200129,206285,211273,215855,221405,227507,232055,235000,239142,242467,248115
NG032006,Jos South,NG03201,12,12939,40.3,162199,163827,165268,165752,168375,165245,162883,162579,161893,160463,158251,156912,157141,157830,158589,156773,155741,156197,156129,156864
NG032007,Kanam,NG03201,37,4808,37.7,149045,149642,149683,151055,152489,153667,154485,156027,157307,158648,160436,163200,165657,168433,171609,173703,174609,175470,177507,179142
NG032008,Kanke,NG03201,27,12005,33.7,273372,273041,272195,274262,277620,280524,284964,289126,294050,297650,304481,309366,312700,316637,320736,323063,324048,325917,326034,321813
NG032009,Langtang North,NG03201,35,8687,35.6,254336,253662,251936,252455,254930,257976,261188,266508,270418,272525,276938,280705,284956,290284,294999,298903,301307,303536,305842,305309
NG032010,Langtang South,NG03201,38,5487,37.7,191106,190561,189298,188908,190583,192520,194260,195859,198136,199136,200543,202047,203637,204598,205965,206706,206052,206186,206548,206453
NG032011,Mangu,NG03201,36,9815,32.7,249411,255282,256224,254434,253798,257994,266285,276478,286447,299171,310460,316295,321465,328066,336254,344533,347996,352005,353134,355266
NG032012,Mikang,NG03201,56,5420,36.1,241893,244273,247412,248774,251560,255590,259965,265452,270435,275088,281395,284625,288850,293853,297928,301328,301785,303858,305222,305658
NG032013,Pankshin,NG03201,57,3452,41.6,174311,175441,177182,179312,181508,182520,182421,182927,184394,186304,187527,188971,191138,193315,194124,195187,195680,196904,198019,198141
NG032014,Qua'an Pan,NG03201,29,11082,33.9,256712,256269,255242,257257,261811,267553,272626,276973,281120,283777,288717,293440,298663,302818,308434,311655,314232,317256,318830,320017
NG032015,Riyom,NG03201,44,4737,39.8,181461,181265,181267,181094,182103,182882,184174,185860,188167,189321,191123,193476,195787,197954,199870,201945,203243,204525,206349,207707
NG032016,Shendam,NG03201,20,16791,31.9,201090,207031,208651,211154,213382,218400,225251,231893,240495,248520,256012,263624,273616,284596,293828,300943,307964,317705,324745,331969
NG032017,Wase,NG03201,39,7136,35.6,222015,223776,224115,225002,226747,230731,235665,242098,248140,254009,259742,262456,265650,267801,270671,274222,275505,276700,276983,276940
NG034001,Binji,NG03401,2238,43,45.7,87000,87690,88830,89380,90100,90780,91440,92830,93170,93690,93470,92930,94360,94770,95510,96070,95780,95520,95820,95710
NG034002,Bodinga,NG03401,885,152,46.9,135820,135890,136310,136500,136690,136790,137420,137910,137830,137790,138090,137570,136940,136480,136130,135890,135790,135280,134740,134250
NG034003,Dange-Shuni,NG03401,991,23,48.3,19220,19340,19540,19830,20070,20340,20580,20740,20940,21220,21420,21530,21560,21580,21670,21850,22000,22190,22270,22400
NG034004,Gada,NG03401,4732,24,49.4,106950,107530,108400,109460,110250,110860,112200,113360,113590,113690,113880,113720,113880,114040,114030,114530,115020,115270,115510,115240
NG034005,Gwadabawa,NG03401,1467,16,44.5,21960,22000,21960,22090,22250,22210,22350,22480,22790,23060,23240,23210,23200,23220,23200,23200,23080,22990,22920,22870
NG034006,Goronyo,NG03401,1222,92,49.3,112160,111690,111550,111840,112030,112100,112380,112610,112490,112600,112980,112920,112870,112530,112400,112470,112680,112550,112610,112140
NG034007,Gudu,NG03401,1772,181,44.2,302340,302780,303480,305670,306850,308450,310380,311320,312180,313180,313900,314330,314810,315300,316230,317100,318170,319020,320530,320820
NG034008,Illela,NG03401,2186,43,42.5,86200,86630,87090,86910,87510,88090,88430,88540,88690,89550,90330,91010,91230,91520,92830,93750,94000,94330,94210,94080
NG034009,Isa,NG03401,186,1234,37.6,211910,210680,209280,207820,208690,209620,212460,214020,217020,219730,222460,224910,227070,228920,230350,229840,228800,227560,228670,229060
NG034010,Kebbe,NG03401,6313,41,44.4,226940,228830,231250,234690,237570,241180,244390,246840,249020,251430,253650,255560,257770,260530,261960,262190,261800,261470,261210,260780
NG034011,Kware,NG03401,6907,12,50,91300,91020,90930,90580,90350,90870,90790,89910,89450,88620,88930,86910,88050,87650,86890,87130,86810,86260,85870,85430
NG034012,Rabah,NG03401,263,2003,36.7,449020,447490,445290,445870,449480,452060,456040,458520,463240,469940,477940,482630,487460,492610,498810,507170,513210,518500,524930,527620
NG034013,Sabon Birni,NG03401,261,686,42.7,172850,172300,171560,171470,171430,171270,171860,172640,173020,173700,174700,174300,173890,174230,174560,175930,176830,177790,179100,179390
NG034014,Shagari,NG03401,159,556,43.3,93320,93040,92470,91970,91530,91420,91370,91190,91080,90800,90610,90340,89800,89710,89590,89860,89610,89130,88930,88340
NG034015,Silame,NG03401,428,430,41.2,159030,160370,161690,163540,165010,167110,169470,171380,173040,174090,175300,176010,176160,177200,178550,180130,181310,182140,183100,183820
NG034016,Sokoto North,NG03401,2181,53,47.4,108370,108810,108710,110170,111340,112500,113540,114490,114830,115410,116200,116220,116290,116740,116900,116520,116280,116040,116200,115820
NG034017,Sokoto South,NG03401,60,2489,37.1,145460,144370,144070,143100,143600,143370,143700,144290,145170,146060,147200,147780,148100,148130,148210,148270,148710,148750,149320,148820
NG034018,Tambuwal,NG03401,174,623,46.3,108250,107350,107000,106540,106040,105590,105050,104940,104960,104920,105000,105880,105840,106710,106960,107540,108130,108330,108640,108750
NG034019,Tangaza,NG03401,1325,282,43.9,349770,350740,351350,353050,355450,357260,358750,360050,361410,362610,365300,366210,366900,367250,368080,370330,371410,371910,373550,374130
NG034020,Tureta,NG03401,5286,29,47.3,134950,135130,135960,136900,138060,139390,141140,143130,144370,145600,146850,147740,147770,148930,149930,150680,151100,151290,151950,151910
NG034021,Wamako,NG03401,175,3640,35.7,578710,576450,572260,569560,569240,568480,571760,576200,581620,586500,593060,595070,596520,599640,606340,615070,621020,626410,633120,635640
NG034022,Wurno,NG03401,470,726,41.6,321180,322520,323700,325400,327140,328740,331170,333290,335160,336280,337720,337890,337780,338000,338260,339390,339960,340180,341370,341140
NG034023,Yabo,NG03401,712,99,48.6,67806,67879,68140,68753,69095,69388,69700,69916,69884,69833,69913,70037,70073,70141,69936,69665,69794,69961,70043,70440
NG036001,Bade,NG03601,126,754,41.9,90912,90700,90719,90516,90644,90820,90974,91094,91199,91060,91190,91346,91362,91549,91767,91994,92264,93049,93961,94832
NG036002,Bursari,NG03601,849,112,49.2,84984,85417,86605,87829,88611,89090,89592,90109,90557,91016,91508,91737,92249,92540,92805,93276,93590,94142,94590,95164
NG036003,Damaturu,NG03601,190,822,38.7,137642,138727,139121,139316,139617,140557,141376,142744,143753,144803,145785,146275,146741,147119,147958,149478,151485,153302,154676,156447
NG036004,Fika,NG03601,5181,26,50.6,126398,127145,128295,129568,130210,131037,131982,132865,133090,132878,133071,133015,132786,132777,132730,132337,132515,132447,132435,133030
NG036005,Fune,NG03601,111,542,40.4,56207,55996,55955,56020,56259,56627,57173,57688,58156,58493,58851,58907,59008,59056,59247,59714,59953,60183,60326,60424
NG036006,Geidam,NG03601,988,725,42.4,118139,118583,119129,119970,120614,121351,122131,123037,123747,124204,124718,125090,125465,125885,126469,127212,127992,128711,129509,130391
NG036007,Gujba,NG03601,1001,745,42.3,115821,116249,116777,117607,118250,118978,119731,120626,121337,121780,122273,122630,122998,123412,124020,124764,125560,126283,127087,127981
NG036008,Gulani,NG03601,1014,766,42.2,113503,113916,114426,115243,115887,116604,117330,118214,118927,119356,119827,120169,120531,120940,121571,122316,123129,123855,124665,125571
NG036009,Jakusko,NG03601,1028,786,42.2,111185,111582,112074,112879,113523,114230,114929,115802,116517,116932,117382,117708,118064,118467,119122,119869,120698,121427,122242,123161
NG036010,Karasuwa,NG03601,1041,806,42.1,108868,109248,109723,110515,111160,111857,112528,113390,114107,114509,114937,115247,115597,115995,116673,117421,118266,118999,119820,120751
NG036011,Machina,NG03601,1054,827,42,106550,106915,107371,108152,108796,109483,110128,110978,111697,112085,112491,112787,113130,113522,114224,114973,115835,116571,117398,118341
NG036012,Nangere,NG03601,1067,847,41.9,104232,104581,105020,105788,106432,107109,107727,108566,109287,109661,110046,110326,110663,111050,111775,112526,113403,114143,114976,115932
NG036013,Nguru,NG03601,1080,868,41.8,101914,102247,102668,103424,104069,104736,105326,106155,106877,107237,107601,107865,108196,108577,109326,110078,110972,111715,112553,113522
NG036014,Potiskum,NG03601,1094,888,41.7,99597,99914,100317,101060,101705,102362,102925,103743,104466,104813,105155,105404,105728,106104,106877,107631,108541,109287,110131,111112
NG036015,Tarmua,NG03601,1107,909,41.7,97279,97580,97965,98697,99342,99988,100525,101331,102056,102389,102710,102944,103261,103632,104428,105183,106109,106859,107709,108702
NG036016,Yunusari,NG03601,1120,929,41.6,94961,95246,95613,96333,96978,97615,98124,98919,99646,99966,100265,100483,100794,101159,101979,102735,103678,104431,105286,106292
NG036017,Yusufari,NG03601,1133,950,41.5,92643,92913,93262,93969,94614,95241,95723,96507,97236,97542,97819,98022,98327,98687,99530,100288,101247,102003,102864,103882
NG037001,Anka,NG03701,1147,970,41.4,90325,90579,90910,91605,92251,92867,93322,94095,94826,95118,95374,95561,95860,96214,97081,97840,98815,99575,100442,101472
NG037002,Bakura,NG03701,1160,990,41.3,88008,88245,88559,89242,89887,90494,90922,91684,92416,92694,92929,93101,93393,93741,94632,95392,96384,97148,98020,99062
NG037003,Birnin Magaji,NG03701,1173,1011,41.2,85690,85912,86207,86878,87524,88120,88521,89272,90006,90270,90483,90640,90926,91269,92183,92945,93953,94720,95597,96652
NG037004,Bukkuyum,NG03701,1186,1031,41.2,83372,83578,83856,84514,85160,85746,86120,86860,87596,87846,88038,88179,88459,88796,89734,90497,91521,92292,93175,94243
NG037005,Bungudu,NG03701,1199,1052,41.1,81054,81244,81504,82150,82797,83373,83719,84448,85186,85422,85593,85718,85991,86324,87285,88049,89090,89864,90753,91833
NG037006,Gummi,NG03701,1213,1072,41,78737,78911,79153,79787,80433,80999,81319,82036,82776,82999,83147,83258,83524,83851,84836,85602,86659,87436,88331,89423
NG037007,Gusau,NG03701,1226,1093,40.9,76419,76577,76801,77423,78069,78625,78918,79624,80365,80575,80702,80797,81057,81379,82387,83154,84227,85008,85908,87013
NG037008,Kaura Namoda,NG03701,1239,1113,40.8,74101,74243,74449,75059,75706,76252,76517,77213,77955,78151,78257,78336,78590,78906,79938,80706,81796,82580,83486,84603
NG037009,Maradun,NG03701,1252,1134,40.7,71783,71909,72098,72695,73342,73878,74116,74801,75545,75727,75811,75875,76123,76433,77489,78259,79365,80152,81064,82193
NG037010,Maru,NG03701,1265,1154,40.7,69465,69576,69746,70332,70979,71504,71716,72389,73135,73303,73366,73415,73656,73961,75040,75811,76933,77724,78641,79783
NG037011,Shinkafi,NG03701,1279,1174,40.6,67148,67242,67395,67968,68615,69131,69315,69977,70725,70879,70921,70954,71189,71488,72591,73363,74502,75296,76219,77373
NG037012,Talata Mafara,NG03701,1292,1195,40.5,64830,64908,65043,65604,66252,66757,66914,67565,68315,68456,68475,68493,68721,69016,70142,70916,72071,72868,73797,74963
NG037013,Tsafe,NG03701,1305,1215,40.4,62512,62575,62692,63240,63888,64383,64513,65153,65905,66032,66030,66032,66254,66543,67693,68468,69639,70440,71375,72554
NG037014,Zurmi,NG03701,1318,1236,40.3,60194,60241,60340,60877,61524,62010,62113,62742,63495,63608,63585,63572,63787,64071,65244,66021,67208,68012,68952,70144
